id,consent_date,age,gender,education,handness,language,race,batch
s1181,2/9/22 15:07,34,Female,14,Right-handed,english,Black or African American,2
s1182,2/9/22 14:16,63,Female,18,Left-handed,English,White,2
s1183,2/9/22 13:06,31,Female,16,Right-handed,English,White,2
s1184,2/9/22 13:31,39,Male,16,Right-handed,English,White,2
s1185,2/9/22 12:05,33,Neither/Do not wish to disclose,15,Right-handed,American English,Other,2
s1187,2/11/22 12:24,47,Female,16,Right-handed,English,White,2
s1188,2/9/22 12:14,35,Male,12,Right-handed,English,Black or African American,2
s1189,2/9/22 17:17,35,Male,12,Right-handed,english,White,2
s1191,2/9/22 15:17,45,Male,16,Right-handed,English,White,2
s1192,2/9/22 13:01,31,Male,12,Left-handed,English,Asian,2
s1194,2/9/22 14:54,60,Female,16,Right-handed,English,White,2
s1195,2/9/22 17:36,72,Male,16,Right-handed,English,White,2
s1196,2/9/22 12:30,29,Male,16,Right-handed,English,White,2
s1197,2/9/22 12:05,39,Female,14,Right-handed,English,White,2
s1198,2/9/22 19:37,33,Male,15,Right-handed,English,White,2
s1199,2/9/22 16:11,35,Female,16,Right-handed,English,Black or African American,2
s1201,2/9/22 12:04,31,Male,16,Right-handed,English,White,2
s1203,2/9/22 15:43,36,Male,12,Right-handed,English,White,2
s1204,2/9/22 14:01,30,Male,16,Right-handed,English,White,2
s1205,2/9/22 12:13,62,Male,14,Right-handed,American English,White,2
s1206,2/9/22 12:52,63,Male,16,Right-handed,English,White,2
s1207,2/9/22 12:09,60,Female,14,Right-handed,English,White,2
s1208,2/9/22 16:27,32,Male,12,Right-handed,English,Asian,2
s1209,2/9/22 12:18,67,Male,14,Right-handed,English,White,2
s1210,2/10/22 08:49,43,Female,16,Right-handed,American English,White,2
s1211,2/9/22 13:16,52,Male,16,Right-handed,English,White,2
s1212,2/9/22 16:22,54,Male,14,Right-handed,English,White,2
s1213,2/9/22 15:25,34,Female,14,Right-handed,English,White,2
s1215,2/9/22 16:45,34,Male,16,Right-handed,English,White,2
s1216,2/9/22 16:16,37,Female,16,Right-handed,English,White,2
s1217,2/9/22 15:36,47,Male,16,Left-handed,Englilsh,Black or African American,2
s1218,2/9/22 17:32,49,Female,16,Right-handed,English,White,2
s1219,2/9/22 12:16,67,Female,21,Right-handed,English,White,2
s1220,2/10/22 03:51,31,Female,14,Right-handed,English,White,2
s1221,2/10/22 14:54,35,Male,12,Right-handed,English,White,2
s1222,2/9/22 12:12,50,Female,13,Right-handed,English,White,2
s1223,2/9/22 18:09,35,Female,16,Right-handed,english,White,2
s1224,2/9/22 15:45,34,Male,13,Left-handed,english,White,2
s1225,2/9/22 13:11,42,Female,16,Right-handed,English,White,2
s1227,2/9/22 12:26,44,Female,13,Right-handed,English,"American Indian or Alaska Native,White",2
s1228,2/9/22 15:41,44,Female,14,Right-handed,English,White,2
s1229,2/9/22 19:14,48,Male,16,Right-handed,English,White,2
s1230,2/9/22 16:28,47,Male,12,Right-handed,english,White,2
s1231,2/9/22 17:19,38,Female,18,Right-handed,English,White,2
s1232,2/9/22 16:16,40,Male,14,Right-handed,English,White,2
s1233,2/9/22 13:39,33,Male,16,Right-handed,english,White,2
s1234,2/9/22 13:10,42,Female,17,Left-handed,English,White,2
s1235,2/9/22 17:55,42,Male,12,Right-handed,English,White,2
s1236,2/11/22 06:41,31,Female,18,Left-handed,English,White,2
s1237,2/9/22 12:06,36,Male,16,Right-handed,english,White,2
s1238,2/9/22 17:01,68,Male,17,Right-handed,English,White,2
s1241,2/9/22 14:53,51,Female,16,Left-handed,English,White,2
s1242,2/9/22 16:40,39,Female,14,Right-handed,English,White,2
s1243,2/9/22 19:09,37,Male,16,Right-handed,English,White,2
s1244,2/9/22 16:02,30,Female,16,Right-handed,English,White,2
s1245,2/9/22 21:15,36,Female,16,Right-handed,english,"Asian,White",2
s1246,2/9/22 15:47,60,Male,16,Right-handed,English,White,2
s1247,2/9/22 12:39,32,Female,18,Right-handed,english,White,2
s1249,2/9/22 16:59,35,Male,12,Right-handed,English,White,2
s1251,2/9/22 17:48,34,Male,14,Right-handed,english,White,2
s1252,2/9/22 16:21,70,Female,12,Right-handed,English,White,2
s1253,2/9/22 14:29,28,Male,16,Right-handed,Chinese,Asian,2
s1254,2/10/22 04:27,34,Male,12,Right-handed,Spanish,White,2
s1255,2/9/22 15:57,28,Male,13,Right-handed,english,White,2
s1256,2/9/22 12:18,44,Male,16,Right-handed,English,White,2
s1257,2/9/22 16:00,37,Female,16,Right-handed,English,White,2
s1258,2/9/22 12:03,57,Female,20,Right-handed,English,White,2
s1259,2/9/22 13:52,32,Male,16,Right-handed,English,White,2
s1260,2/9/22 12:54,59,Female,14,Right-handed,english,White,2
s1261,2/9/22 12:06,36,Female,14,Right-handed,English,White,2
s1263,2/9/22 14:49,38,Male,16,Right-handed,English,White,2
s1264,2/10/22 11:04,53,Male,18,Right-handed,English,White,2
s1265,2/9/22 12:04,37,Female,16,Right-handed,English,White,2
s1266,2/9/22 12:59,41,Female,14,Right-handed,English,"Asian,White",2
s1268,2/9/22 12:21,25,Male,12,Left-handed,English,White,2
s1269,2/9/22 12:17,33,Male,16,Right-handed,English,Other,2
s1270,2/11/22 12:33,25,Female,16,Right-handed,English,White,2
s1271,2/10/22 14:31,37,Female,16,Right-handed,English,Asian,2
s1272,2/9/22 13:09,43,Female,16,Right-handed,English,White,2
s1275,2/9/22 14:37,33,Male,16,Right-handed,English,White,2
s1276,2/9/22 19:18,45,Male,16,Right-handed,English,White,2
s1277,2/9/22 15:19,35,Male,12,Right-handed,English,White,2
s1278,2/9/22 14:43,34,Female,14,Right-handed,English,White,2
s1280,2/9/22 12:13,34,Male,16,Right-handed,English,Asian,2
s1281,2/9/22 19:04,30,Female,13,Left-handed,English,White,2
s1282,2/9/22 15:03,51,Female,16,Right-handed,English,"Black or African American,White",2
s1283,2/9/22 18:04,32,Male,13,Right-handed,English,White,2
s1284,2/9/22 13:19,39,Male,16,Right-handed,English,White,2
s1285,2/9/22 12:15,49,Female,13,Right-handed,English,Asian,2
s1286,2/9/22 16:19,40,Male,14,Right-handed,english,White,2
s1287,2/9/22 18:19,47,Female,18,Right-handed,English,"Asian,White",2
s1288,2/9/22 16:49,26,Male,16,Right-handed,English,Native Hawaiian or Other Pacific Islander,2
s1290,2/9/22 15:41,29,Male,12,Right-handed,English,White,2
s1291,2/9/22 15:43,47,Male,16,Right-handed,ENGLISH,White,2
s1293,2/9/22 13:28,48,Female,15,Right-handed,English,White,2
s1295,2/9/22 22:16,32,Female,14,Right-handed,English,Black or African American,2
s1296,2/9/22 14:28,52,Female,14,Right-handed,English,White,2
s1297,2/9/22 16:32,33,Male,12,Right-handed,English,White,2
s1298,2/9/22 12:03,47,Male,22,Left-handed,English,White,2
s1299,2/9/22 23:24,39,Male,13,Right-handed,English,White,2
s1300,2/9/22 12:56,35,Male,16,Right-handed,English,White,2
s1301,2/9/22 17:11,32,Male,12,Right-handed,English,White,2
s1302,2/9/22 12:13,41,Male,16,Right-handed,English,White,2
s1304,2/9/22 12:03,26,Male,16,Right-handed,English,Black or African American,2
s1305,2/12/22 14:04,54,Female,12,Right-handed,English,White,2
,2/2/22 10:41,,,,,,,
,2/8/22 13:04,,,,,,,
