SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s0082,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0083,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0015904000276278907
s0084,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,6.309178378349672e-4
s0085,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,465,0.010027036,0.888888889,0.555555556,0.025444037600422856
s0086,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0087,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0088,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0090,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0015904000276278907
s0091,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.0639373165087494
s0092,465,0.009933198,0.888888889,0.555555556,417,0.024907265,0.888888889,0.666666667,417,0.025204564,0.888888889,0.666666667,0.01840622702439338
s0093,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.001570816287617923
s0094,449,0.025565085,1,0.666666667,385,0.063690167,1,0.777777778,481,0.00978133,1,0.555555556,0.025159722494816444
s0095,1,0.246753247,1,1,1,0.25,1,1,1,0.248847926,1,1,0.24853008601629187
s0096,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.0011671634396006377
s0097,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0098,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0099,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0100,509,6.32542e-4,1,0.222222222,509,6.3193e-4,1,0.222222222,509,6.32011e-4,1,0.222222222,6.321609417394587e-4
s0101,257,0.159084963,1,0.888888889,257,0.158113883,1,0.888888889,385,0.064947206,1,0.777777778,0.11777502436337638
s0102,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,509,6.32011e-4,1,0.222222222,8.583171571346091e-4
s0103,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0104,449,0.025565085,1,0.666666667,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.034761121094863755
s0105,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,505,0.001599001,1,0.333333333,0.0021404253958474664
s0106,505,0.001583251,1,0.333333333,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,4.639490344221831e-4
s0107,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0108,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0109,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s0110,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.03486441659740516
s0111,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,497,0.003897476,1,0.444444444,0.01856904863971438
s0112,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0113,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0114,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0115,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.01847675990484034
s0116,497,0.003859499,1,0.444444444,441,0.001588988,0.888888889,0.444444444,505,0.001599001,1,0.333333333,0.0021404253958474664
s0117,509,6.32542e-4,1,0.222222222,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,4.6467859952545017e-4
s0118,239,2.51196e-4,0.777777778,0.333333333,213,0.003963463,0.666666667,0.555555556,190,3.1628e-4,0.666666667,0.333333333,6.803302044258434e-4
s0119,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.007168669980310297
s0120,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0121,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,511,2.51015e-4,1,0.111111111,6.309178378349672e-4
s0122,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,497,0.003897476,1,0.444444444,0.00990079633485758
s0123,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.0639373165087494
s0124,497,0.003859499,1,0.444444444,512,1.58278e-4,1,0,510,3.1628e-4,0.888888889,0.111111111,5.781063488887248e-4
