,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
90,29.0,24.0,22.0,18.0,25.0,13.0,19.0,26.0,-3.679543701801917,6.063245278957841,1.792571221977062,2.2253089164239603,0.012845711808616149,0.0005973490919632,5.35466667574692,0.8956461856105971,1.2807855340162035
91,22.0,22.0,20.0,16.0,29.0,16.0,16.0,29.0,-6.751127700046942,4.60946666300682,2.1275000836115625,3.071014700976945,0.040098084682276006,0.00124730236530605,4.63146448582089,0.853207104475658,0.7794882091380705
92,29.0,15.0,12.0,19.0,14.0,18.0,18.0,29.0,-3.0475578705002144,5.713237969141842,1.1868779714841513,0.1280091810219206,0.0037968676408052502,0.0011560591872341501,7.695329521982201,0.9306124263163835,0.6897550993748596
93,13.0,14.0,25.0,15.0,17.0,16.0,21.0,23.0,-5.242633812407953,7.375682417485754,2.2470274409052067,3.6082362645181805,0.022307324276571852,0.00126904652240285,5.7118590340125746,0.8285172495474455,1.01239267782285
94,17.0,16.0,14.0,13.0,19.0,15.0,18.0,22.0,-6.753178884412317,7.5371770264592985,2.5979629990492943,5.585257042381016,0.04155885865659585,0.00501656793362545,5.55554364677381,0.8287399029684059,1.157574715233225
95,18.0,15.0,21.0,20.0,34.0,14.0,20.0,25.0,-2.7498521051277915,9.37687569320289,1.5675941612378832,0.7260616620950051,0.0050626975655716,0.0070345707890569495,9.820770410611765,0.9322978334203205,1.179664687660459
96,17.0,22.0,15.0,13.0,24.0,10.0,18.0,21.0,-3.356288551637029,4.85292143047018,2.0787754188823464,0.6054763912133518,0.01137199179064315,0.0007088685084805501,4.391686522172035,0.9129643808505875,1.207085695398963
97,20.0,26.0,13.0,15.0,22.0,9.0,16.0,16.0,-7.981565513194658,6.272341463427415,1.8365824536205153,0.3944699450934581,0.00539243284327035,0.0006859710967422,5.472147785061216,0.9557188856828315,1.21611352907955
98,25.0,30.0,14.0,19.0,20.0,16.0,13.0,27.0,-5.54996881720391,7.473906638689613,3.036227692177465,3.201609268527329,0.020856786267985,0.0011881857201066501,5.108474754199586,0.8635609510272599,1.754706003417415
99,12.0,15.0,11.0,10.0,34.0,11.0,12.0,14.0,-3.370813020665102,6.172685335611662,1.2731883494841605,1.18716048054773,0.005674127393384951,0.00034239725093279997,5.812489972142615,0.9428573340278545,1.0276452011015667
100,12.0,15.0,17.0,12.0,43.0,8.0,16.0,17.0,-4.30842465305103,7.373576787034928,2.305921888898853,1.1603056155974851,0.0104567166095389,0.0010940737915282,6.051716155437095,0.9294725232843,1.41205449458407
101,27.0,28.0,20.0,18.0,35.0,15.0,17.0,26.0,-3.0475578705002144,6.560469439859325,2.073154653226172,-0.11311863957815582,0.004432651570968451,0.0012529298915639501,6.136948035411935,0.977687729244453,1.1148194472958548
102,24.0,19.0,21.0,23.0,18.0,15.0,25.0,30.0,-4.6313197052810295,5.010587346062105,2.639112348419335,2.0641310207535923,0.01826628695210425,0.00070639859129815,3.8098014111207004,0.886643601872714,3.478012622072242
103,32.0,32.0,26.0,21.0,33.0,16.0,25.0,27.0,-3.996726796887618,8.532629657508851,2.5924051157092727,3.7296733736096486,0.017745284445436202,0.0027982358310222003,6.447680626318025,0.859398342626669,1.3031917274714448
104,44.0,20.0,31.0,29.0,14.0,18.0,29.0,36.0,-5.539617180706257,4.70066203497848,1.8499594898280547,0.06061466552071204,0.0074133395079799495,0.0007679182014864,4.647384100153454,0.901094310496225,0.7678806473275135
105,25.0,30.0,25.0,20.0,31.0,18.0,23.0,30.0,-4.6313197052810295,7.586061490250373,2.669082669672095,4.202756237761451,0.015333341010266548,0.00108297442291855,4.81104789774213,0.9059005057872365,2.79352984418952
106,12.0,15.0,11.0,11.0,23.0,11.0,16.0,23.0,-6.146750686596859,7.66611404054372,2.188706283607612,1.4044003504705742,0.0097139563458197,0.00078245912930495,4.688398142999085,0.8384031782555585,1.87710205119644
107,33.0,22.0,29.0,12.0,32.0,19.0,22.0,33.0,-7.366366541585366,6.365696866090518,1.8975395275815945,2.492335840234879,0.02036228227531895,0.00401941127335135,6.2955880181023005,0.8913582037108385,1.07067114181965
108,35.0,30.0,19.0,17.0,28.0,14.0,18.0,26.0,-2.5219469840831197,5.592323185685009,1.7777548758356982,0.7826447445916531,0.00967663497548595,0.0014273955003465,5.737927924932425,0.9162755098812014,0.8096984294805625
109,19.0,15.0,12.0,14.0,16.0,14.0,15.0,27.0,-6.44376970469036,7.20887724731042,1.7390409020790536,-0.1628375516911782,0.00328502161630345,0.0014359306934987,6.135356069284705,0.761055533551117,0.894450058899023
110,18.0,15.0,27.0,14.0,47.0,11.0,27.0,26.0,-4.30842465305103,6.8765341139674305,1.5042239890730789,3.2896804894387897,0.0131193156201234,0.0012700082546650499,6.579483921004185,0.853759347584478,0.8823004359223335
111,26.0,30.0,29.0,19.0,42.0,17.0,25.0,23.0,-3.3757658813503095,6.845006880890869,1.9230730696753469,0.7577618511403452,0.004912734697893949,0.00098145856723185,6.004303121748515,0.955971464949583,1.3526337176836494
