id,sess,key,block,auc,std_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,ready_RT_mean,ready_RT_se,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0036,2,"('s0036', 2)",1,3.4774679144385026,0.9752991651017826,3.5633529411764706,3.266505347593583,3.169076086956522,4.0006875,0.6787595508270532,3.266505347593583,0.7664386477289061,1.2215455230337304,0.11307575757575525,0.010188008924750278,0.7075,0.7557333333333334,0.016663664173995577,LP
s0036,2,"('s0036', 2)",2,4.1242886042528895,1.583934561272714,3.914544444444445,4.287115942028986,4.272689549961862,4.045210526315789,1.906457017384815,4.287115942028986,1.2431650554871891,0.6925507831615079,0.12032692307692587,0.01127976373659253,0.708,0.7495714285714287,0.026057286569202295,HP
s0038,2,"('s0038', 2)",1,5.455254823598302,1.9157347553870525,5.145246031746032,5.495315972222223,6.5052361111111106,4.817025641025641,2.4735401328207165,5.495315972222223,1.517600248318373,0.6943153235910232,0.18791588785047017,0.016601204362521264,0.758,0.8737187500000002,0.050641328716714534,LP
s0038,2,"('s0038', 2)",2,3.737450026991145,1.0224273004042261,3.580877777777778,4.005237967914439,3.119814153439154,4.6454264705882355,0.7072043681956875,4.005237967914439,1.0375999773423747,1.0513659366884205,0.1595545454545489,0.014342807604421833,0.757,0.8882800000000001,0.06303384538484066,HP
s0039,2,"('s0039', 2)",1,4.669203116883117,1.1301196210863305,4.421469387755103,4.617725,5.194352272727273,4.329265625000001,0.5895149026881863,4.617725,1.3466531833989297,1.1882861442823272,0.4007567567567572,0.02767975821584744,0.7095,0.7317666666666667,0.018473966166633677,LP
s0039,2,"('s0039', 2)",2,5.047373893807242,1.439761079779665,4.9488902116402125,5.00110101010101,5.789975438596492,4.648998124999999,1.0676641107063738,5.00110101010101,2.5069933854089954,1.2204224237928791,0.5011818181818225,0.040914935016451985,0.71,0.7801379310344829,0.04523070006784838,HP
s0040,2,"('s0040', 2)",1,3.198249643783333,1.6003056057335245,5.969916666666666,2.7633371813371816,2.2669373040752356,2.557465378421901,1.2860353292408244,2.7633371813371816,0.49051288518354025,0.5560998886535085,0.1783014705882365,0.012758627753956808,0.772,0.7626545454545454,0.015487456255861873,LP
s0040,2,"('s0040', 2)",2,6.883089356615978,3.9298350173873104,3.9078448275862074,7.339892307692308,8.939628571428573,9.494,4.149943897322171,7.339892307692308,2.08883488146881,1.2086769626331093,0.37896428571429197,0.032195399940556424,0.76,0.761046511627907,0.020617376339544673,HP
s0041,2,"('s0041', 2)",1,3.022614725014784,0.4688457207567102,2.8292782608695655,2.9918,3.2502736572890027,3.057631578947368,0.34580458286062415,2.9918,0.5729173731141656,0.4797376706982481,0.13356834532373812,0.00823562891339591,0.696,0.7862950819672134,0.020426523486323515,LP
s0041,2,"('s0041', 2)",2,3.3883361389162583,1.2040087790338485,3.549632478632479,3.4748668965517244,3.560914230019493,2.923874223602484,0.6936557016628725,3.4748668965517244,1.936589468837201,0.47843791631763455,0.31151327433628206,0.05592888444381409,0.6995,0.9031500000000001,0.11805192236893051,HP
s0043,2,"('s0043', 2)",1,6.923355444535606,2.746751654374715,7.668121212121212,7.929714285714286,6.429639455782314,5.41628120300752,1.6477721738222109,7.929714285714286,2.989938852116482,2.7796514603859275,0.3028829787234042,0.05140179131490384,0.888,1.1932372881355935,0.09766110030936456,LP
s0043,2,"('s0043', 2)",2,10.553997407742246,2.2673057528391904,9.365346153846154,11.363636363636363,10.83311111111111,11.407,2.3584484297016397,11.363636363636363,2.4991791738908757,0.0,0.12750769230769,0.02721530306616442,0.885,1.0532545454545459,0.09950750532159282,HP
s0044,2,"('s0044', 2)",1,10.587209166666666,3.2611914683187524,8.856331196581195,11.041916666666665,12.0,12.0,4.172477742451001,11.041916666666665,0.0,0.0,0.1841159420289899,0.01289826634162729,0.8055000000000001,0.792983870967742,0.016712611710470483,LP
