id,waic_QL1,waic_QL2,waic_RL1,waic_RL2
s0083,548.9317533978693,535.5803821376488,554.2161414685764,537.3579190300454
s0084,397.29970270843563,367.55271722399704,396.04727419435307,393.6129169296194
s0085,467.8746417905483,468.61043364353037,468.0905756556778,467.79437264110663
s0087,212.79808158281278,212.51952752922733,212.7324582242528,212.64695760271744
s0088,306.7057929702262,306.6357834316161,307.3999756279753,291.68014998096317
s0091,519.6094784795497,514.7638899031089,536.0932285379007,512.6356712430223
s0092,376.0366539719085,376.3213265685284,375.0717575280706,376.2019830602264
s0093,236.2068785523385,238.42204485895968,245.31255707223696,239.09985283065794
s0094,269.09823709119644,269.2084245378536,268.99160556381645,269.11701651342617
s0096,324.3821019773979,326.6894396556798,310.76877375332504,313.90111536513837
s0100,352.37621726077947,351.8442765468389,337.37078665674363,339.9516312087605
s0101,299.2573442059334,299.16240403791437,299.7841911555151,299.46046393323735
s0103,331.93223010742395,331.9406736015422,341.4832313419487,328.7879861588404
s0104,269.1218959944301,268.0815187469545,292.7190323199778,268.84864397397126
s0106,378.3429604139361,357.2596678209821,378.34361160703276,373.27269737167455
s0107,601.9516478073367,553.5157934917842,610.1194700224082,608.0582488162514
s0108,419.5840341705926,398.6256336101538,496.59947558545593,404.67847906702053
s0110,614.9530614041518,551.5214762729503,639.1550688176727,586.4772858320101
s0111,456.24223224548075,455.9521216168138,492.52208047634326,449.8944908661406
s0113,512.82065173059,502.44094031010377,570.3410115586179,539.717689957725
s0114,331.51307714043287,324.74971737289087,339.99245141822774,336.2072410948075
s0115,316.6717727854354,295.0815838530696,315.7884409029913,313.7089138549736
s0116,279.9760525379741,268.74110825416125,314.8205239618384,272.3304204508919
s0117,92.64900867910913,92.39204932993054,92.25899812703776,92.27654962534602
s0119,569.9575613411091,568.7984835333826,557.6618258849734,529.6190640814156
s0120,334.8379406450007,334.6323716627536,334.5856398749521,334.4722635286469
s0121,120.56460461193683,120.7050626233234,120.55825356584194,120.64299367189292
s0122,312.20114858096287,308.6459130153191,314.64446939762723,308.28863527974414
s0123,215.29161186621326,215.93957332463688,212.47744624644366,214.3918227157065
s0124,764.1790903047621,765.4636805555716,751.0853356402315,727.9719196975509
s0126,422.9679082109634,415.1099879329371,422.8727414157288,423.021151656357
s0128,402.58440774800965,393.41076959554493,394.8892918233572,397.36749078667543
s0129,722.0361693035213,719.2680639293814,731.0194511042388,719.0935950016994
s0130,62.06685341114239,61.893795375134424,61.82544478791195,61.89911395609854
s0131,398.5334026342932,397.48506317514864,389.5875100143284,391.5081672490778
s0133,339.8449335868714,340.2738487380776,339.9832573196786,339.9177405975801
s0135,320.8308545511522,319.68363840788606,320.8673823138091,320.8998409428806
s0136,399.70778913356696,395.6344615714714,415.0364139638199,395.4734676905664
s0137,289.7992165734405,286.512901937429,292.8754022696538,293.35751993302176
s0138,306.99401463585366,306.9730692774567,306.95159735459447,306.89106669309655
s0140,574.2578992071788,574.6417318978931,576.0075933758833,573.8801404123201
s0141,344.3120312447369,342.95788112055703,344.4093876141667,342.0692237780939
s0142,166.26637229794412,167.95573167962715,169.4645364312916,167.58031459045313
s0143,609.2039029220813,582.7189844553507,622.6998630449858,595.1381318457672
s0144,495.104291261504,471.9879948555393,498.9974221548044,486.2189808868795
s0145,357.1786837129645,351.14205782587777,370.7925728477119,351.97726289760146
s0147,482.20846440568704,436.5499381239264,482.3177097768689,480.5624454727688
s0148,380.4925289377773,367.20667575148826,398.99138534878585,370.29473421896563
s0149,645.2582147774465,629.0382428295086,648.8936207182442,646.5949816456623
s0150,435.11230797132896,430.0207346479149,451.28135873509564,429.39803604508825
s0151,470.48453606925995,447.995766960859,474.6949434525913,466.2683847176759
s0154,538.0298275231982,532.2877745299571,584.4075491854687,532.2850408119376
s0156,369.17212200567985,367.3485293520994,370.4085758171236,366.6852085748262
s0159,306.6808699303514,307.06242737056976,310.20602950156854,307.7167536223638
s0160,309.42794043337716,307.80487242709694,309.5610388718579,308.1826926550351
s0162,369.3024663960238,362.94268718102455,375.6978376022121,363.30555642134493
s0163,495.37781731954584,362.94268718102455,375.6978376022121,363.30555642134493
s0164,396.62822595222366,377.6155289446945,403.5690981103843,399.40284544015094
s0165,215.16448835155356,215.50058240459592,218.95925209751417,214.39075989717102
s0166,424.5682812896367,410.77892509427807,432.21261224545094,420.31411399552076
s0167,810.6881049112167,489.8807204230897,614.8640161576467,494.2689009227905
s0169,388.33710530192576,355.43279837585214,376.22265784020806,369.9837182396484
s0170,92.89422929123869,92.94335457462373,92.85807327708704,92.84475181113437
s0172,222.19762139024866,221.59231908501778,221.37464651842194,222.27400466664437
s0173,461.93528007007416,461.8755239121334,461.82830079373497,461.95087348975244
s0174,453.4712103292872,447.61852732283455,457.80411797121707,444.27847298799145
s0176,384.2492756085392,384.04162872479145,395.367474656747,387.7656949725622
s0177,331.99720034583066,331.3610588421964,336.29808728228,331.63534510663584
s0178,325.787981114641,331.3610588421964,336.29808728228,331.63534510663584
s0179,299.3282631435079,297.156756699094,299.33038754881403,298.76444428650984
s0180,509.55194707724735,509.193724760238,561.9770278908077,490.07974562057404
s0181,596.5372359665994,540.6063791741594,604.636779650135,527.5351026655592
s0182,415.1242059108374,396.8160465785292,430.8233311984106,404.2319988812238
s0185,463.89844466573413,464.10694228138584,464.1687514381858,463.9215386917144
s0187,405.1687054394172,405.2241387611831,405.2970719455615,405.2971718759898
s0188,215.58986629584246,215.61788829314693,218.86971637148952,221.16795319671377
s0190,363.3990092019581,392.6133930826252,363.3298378167091,363.23374891074525
s0191,240.51034224159298,241.3381053979745,239.41482270542264,240.6321609354817
s0192,516.6459578537489,509.7746638054153,530.3374547475776,509.0688462390388
s0194,396.3715915202717,393.32883731751076,431.77380548629077,396.30354988323353
s0195,733.1665544888679,715.9904231815497,678.4502438826045,663.9930755709412
s0196,416.1613700843024,416.83106240635027,412.52927807082386,412.2192016065488
s0197,311.2102554403355,313.66568566345023,312.08658501701046,311.35934590141306
s0198,519.4903254965599,506.46884242105006,561.9285066821643,506.7634826507621
s0199,481.88166496038656,466.5995729146033,495.40467170417384,465.3120113316306
s0201,261.5801293500579,219.27254748890337,266.519562269012,271.8888950441241
s0203,516.9284367874043,499.0388182279415,526.1808170334182,502.84414530824614
s0204,327.94532360575744,327.6992161163915,328.9562056932334,328.2395429838422
