id,sess,block,auc,std_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,ready_RT_mean,ready_RT_se,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0058,1,2,8.902808942063372,2.3811653583504375,7.360879807692307,9.82825,9.770625396825395,8.960333333333335,2.17561265685535,9.82825,2.7590463177485787,1.1456550770435032,0.3475492957746466,0.025824340527317424,0.725,0.8780784313725493,0.08645587818117319,HP
s0059,1,1,10.656906255787252,2.127920466064909,10.23825,11.520249999999999,11.129,10.216296296296296,1.6546314053286912,11.520249999999999,2.8887801923995537,2.1141697488667557,0.41523376623376385,0.011750382030211224,0.8714999999999999,0.963892857142857,0.05653190515195228,LP
s0059,1,2,11.780841269841272,0.670224298071453,11.553,12.0,11.852666666666668,12.0,1.0949219150240803,12.0,0.20836079818963607,0.0,0.46335483870967414,0.04260070456622898,0.935,0.9801500000000001,0.06959696203858326,HP
s0060,1,1,4.428454666666668,1.3010422821510783,4.852142857142858,4.073475,4.530600000000001,4.254866666666667,1.9181480598722909,4.073475,0.9395208566072389,0.6727044786201113,0.36985593220339347,0.012114413599773468,0.693,0.7046393442622952,0.00843783193000766,LP
s0060,1,2,4.938640174379611,0.8899565854464928,5.623441964285715,4.522468899521532,5.355941176470589,4.76719298245614,1.7395037716635902,4.522468899521532,1.409602654508928,0.5606457567057452,0.4744408602150552,0.016989134764603595,0.6915,0.69965625,0.014219787693933648,HP
s0061,1,1,5.050274991666647,3.3126263648086383,6.503892168209877,3.959567444930287,5.276762962962963,5.190335437710439,4.247766620052711,3.959567444930287,2.925790656563738,3.1540722166486734,0.4796846846846881,0.05526278572491395,0.725,0.8284210526315791,0.04208908276363992,LP
s0061,1,2,7.8463083764440755,3.9421990775809514,5.850992058823531,8.128577771347736,9.975134375,8.19958074074074,4.145151434428989,8.128577771347736,3.7241010556332057,3.2745483941611178,0.5225657894736874,0.08901501308123605,0.757,1.1069574468085106,0.15437180622222502,HP
s0062,1,1,8.59093200577273,4.947371464147285,9.756976923076923,6.8502,8.117619047619046,10.898538461538461,3.825533866142857,6.8502,5.018505985954961,3.026879241203454,0.27531578947368124,0.03520354943527051,0.723,0.7503090909090908,0.030130612342769654,LP
s0062,1,2,11.47757482187951,2.074289826138478,11.178785714285715,11.1766,11.308933333333334,12.0,2.960930215286391,11.1766,2.5857346980865783,0.0,0.28216666666667073,0.037636001214117275,0.733,0.6910634920634919,0.014952260859826308,HP
s0063,1,1,8.899734133117677,3.2965037577299094,9.999323529411765,9.785250000000001,8.339059523809524,7.881941885964913,3.1245570200908976,9.785250000000001,3.1663329035306327,3.829597708293702,0.156768292682923,0.016369754349409023,0.7975,1.0783333333333336,0.11477010479533643,LP
s0063,1,2,7.2922882856365,3.58248775127388,9.842969696969696,7.896540071770335,6.460465416936004,5.445606218434342,2.0472190817737843,7.896540071770335,3.3341762242436213,3.5919306831115563,0.18316666666667014,0.028245439821307006,0.931,1.668,0.2643605785586568,HP
s0064,1,1,6.585913210784313,1.9133800746644298,8.0308125,6.024238095238095,6.375833333333333,6.286553846153845,2.3124929518473674,6.024238095238095,1.6617808752511347,1.467215217087949,0.3939191919191934,0.05104349877127453,0.765,0.884876923076923,0.0688624957233674,LP
s0064,1,2,7.545341845208633,3.1906660243988303,7.218978021978021,8.228275,9.41153052631579,5.907346464646465,2.7613974321918504,8.228275,3.114423564577313,2.889581675273556,0.4754605263157905,0.1049965660973738,0.7384999999999999,0.8363095238095238,0.0418258115591274,HP
s0065,1,1,8.307325448028674,2.3044668155238446,6.8527499999999995,8.743113636363637,9.475291666666667,8.380851851851853,2.1079819288836417,8.743113636363637,1.3670373830284315,2.08113564001153,0.21539772727272377,0.02924899579655011,0.848,0.9409322033898306,0.04535942111436589,LP
s0065,1,2,10.259769213113398,3.230085181978764,9.633909812409811,9.60835294117647,9.929207407407407,10.60968148148148,3.2480064228302306,9.60835294117647,3.815101821069828,3.0976088858435737,0.5306153846153869,0.0973829959576313,0.799,1.1290000000000002,0.16753725748343096,HP
s0066,1,1,4.490759712650268,1.7656693586844716,5.441602040816327,3.886050783699059,4.5664375,4.092307692307692,2.891302907841687,3.886050783699059,0.9601003182447915,0.549409247019068,0.35898260869565196,0.014091754323114518,0.772,0.8941000000000002,0.04672951541703714,LP
s0066,1,2,8.174725268197855,2.152554946527835,6.745534722222223,11.210333333333335,8.280851851851853,8.261777777777777,2.634479399640031,11.210333333333335,1.2943121926823533,1.5333230273405667,0.6060147058823526,0.18345111274319328,0.779,1.2159512195121953,0.22264520277589406,HP
s0067,1,1,7.0169151144342505,3.690230660211171,7.943190476190477,6.421618888888889,5.166454545454545,8.080997777777778,3.124972771219243,6.421618888888889,3.446596661474176,4.0226389207411755,0.6336588235294036,0.22269286469703786,1.143,1.596603773584906,0.2060083162692852,LP
s0067,1,2,3.4248998190517623,2.882392710221738,3.4578571428571436,5.0244050980392165,2.9086224489795915,2.5668996415770615,3.0714835609695395,5.0244050980392165,2.0774884935079037,2.036552899335538,1.4657052631578953,0.8584073583565062,1.166,2.0105,0.39370280352062514,HP
s0068,1,1,6.1313461709212,1.9416936918109156,8.199333333333334,6.6406,4.749238095238096,5.400196428571428,2.0159396485675525,6.6406,0.8221718453648591,1.6194651500202473,0.26684905660377434,0.007864912690500443,0.7575,0.7256515151515152,0.009885373627993696,LP
s0068,1,2,4.316340912517193,4.324213713880531,6.922124999999999,3.470789102564103,2.646725,5.827730769230769,3.070673803805119,3.470789102564103,3.9560881024536094,5.714829296580367,0.2735042735042791,0.016365691910573927,0.7875,0.7955882352941176,0.018296156385692625,HP
s0069,1,1,4.138588319672132,2.3037541496891287,6.794770833333334,3.2841684981684973,3.005531746031746,3.639222222222222,3.0324580942390567,3.2841684981684973,0.6978905595572802,0.4972582109880758,0.1780546875000013,0.011525025359848022,0.7065,0.7815781250000002,0.017816471660939723,LP
s0069,1,2,6.238263582303866,2.620121792362156,4.865011014492754,7.397320512820512,6.266642658730159,6.346265635680108,2.124074294474068,7.397320512820512,2.313941705286021,2.281539842721367,0.3386588235294117,0.12013363441793155,0.8799999999999999,0.9336904761904761,0.078134764156056,HP
s0071,1,1,5.079003070175439,0.9560768400674609,5.126267857142858,4.790285714285714,5.00275,5.3575,1.5810859456519957,4.790285714285714,0.5677742348246961,0.6597048203552859,0.18456521739130402,0.012207067465038132,0.7120000000000001,0.7636716417910446,0.013161240882028526,LP
s0071,1,2,7.645618305209096,1.131873285866547,7.624759615384616,8.391644444444443,7.7415714285714285,7.25924705882353,1.6033614538932328,8.391644444444443,0.20726646558259765,1.0511572995387999,0.22576315789473958,0.02069243565889647,0.703,0.729372093023256,0.009586983201012698,HP
s0072,1,1,5.703179344639736,3.073535078804294,8.194784615384615,6.93844947209653,5.29143253968254,3.6270921052631575,2.6169762483405723,6.93844947209653,3.1046319656723407,0.8268499621682722,0.5492019230769208,0.06471473500478558,0.8690000000000001,0.9836949152542375,0.06007624789533723,LP
s0072,1,2,7.659821068781525,3.1118327915691095,7.03764417989418,6.284378028404345,7.849565111758991,10.04812121212121,2.590036373052697,6.284378028404345,3.4297494070313066,2.5944457778875494,0.31107999999999303,0.048212735099533804,0.981,1.4073720930232558,0.14724100111799035,HP
s0074,1,1,5.476472960816327,1.4478934115077873,4.30748888888889,5.2542890625,6.354666666666667,6.219444444444445,1.578085928325239,5.2542890625,0.9436357289170907,0.654763080326025,0.1692212389380549,0.018717329788555653,0.6829999999999999,0.7612615384615383,0.026828230974883405,LP
s0074,1,2,7.142066517857143,1.4809599318216748,5.8604375,8.53138888888889,7.725667857142856,6.9812916666666665,0.9861812852329686,8.53138888888889,1.0207385703336762,0.9312320011310588,0.2054625000000032,0.03408313798525425,0.703,0.7889512195121949,0.03539509222340417,HP
s0075,1,1,9.402109979716025,2.555777831488645,10.302575,11.213642857142858,8.301866666666667,7.912444444444444,1.958177403703505,11.213642857142858,2.0914005153378814,2.8881642539898404,0.2879195402298765,0.023600873856010368,0.807,0.8058769230769232,0.019371075951608523,LP
s0075,1,2,9.432323979591835,2.143305133712132,10.105225000000003,10.3525125,8.562650793650795,8.974885714285714,2.019235863978005,10.3525125,2.1573898556278692,2.2244817794126286,0.2197999999999952,0.028634049946287755,0.7865,0.8211538461538461,0.028976990267317405,HP
s0076,1,1,10.304492880425459,2.1415394429278694,12.0,10.882249999999999,10.779947368421055,8.608,0.0,10.882249999999999,2.644238699983999,1.385451101827688,0.3081973684210505,0.029807601071309395,0.958,0.981694915254237,0.02301113546104832,LP
s0076,1,2,8.608161104250364,1.8148631236228756,10.477099999999998,8.8908,8.878761904761905,6.902938961038961,1.628032336902434,8.8908,0.7556447833133986,1.8096094783043803,0.316535211267601,0.019838495207028142,0.9055,0.9225869565217392,0.023514737688330668,HP
s0077,1,1,7.462377551020407,2.948517497752512,9.204066666666666,10.129249999999999,6.225233333333334,4.556928571428571,2.1446778613323008,10.129249999999999,2.175304571523006,1.3353706742905138,0.20363366336633482,0.02238735254818435,0.8714999999999999,0.9139571428571426,0.06015743439124081,LP
s0077,1,2,5.684159135662812,1.3744643818638742,5.678578242481202,5.7742184873949585,5.277266666666666,5.894034375000001,1.702257217319318,5.7742184873949585,0.7628917245811121,1.5663199571586133,0.26402272727272763,0.037644470255597806,0.83,0.8429999999999997,0.020673481979164937,HP
s0079,1,1,5.155106270666035,1.952732732335196,7.490769696969697,4.730308913308913,4.4655555555555555,4.087944444444445,2.374042180382068,4.730308913308913,0.5733412520986301,0.756493260028889,0.12758119658119793,0.010960579517317447,0.8170000000000001,0.800742424242424,0.015041300818274093,LP
s0079,1,2,5.541558013373144,1.5815138102229465,5.068263157894738,6.980763157894737,4.515142857142857,5.460381944444444,0.7139199307975844,6.980763157894737,0.8497748993656126,0.7609571275385854,0.3062022471910116,0.07958256542135614,0.8190000000000001,0.9343428571428571,0.11527593120365069,HP
s0081,1,1,7.903253188311688,2.4850944364588283,7.6310699300699305,7.266987012987013,10.84525,5.775098039215686,2.6361732215184652,7.266987012987013,1.1406176780586914,1.2442831979347877,0.742090909090911,0.1837236956465771,1.0090000000000001,1.1133934426229513,0.060421080336582764,LP
s0081,1,2,10.559796992359493,2.7700951656300368,8.489303511303511,11.282375,12.0,11.13825,3.307943939157689,11.282375,0.0,2.279976192309911,1.12446774193548,0.2166016483009581,1.0764999999999998,1.1614999999999998,0.04486954685048536,HP
s0082,1,1,4.7059639630032235,2.6507775601182697,7.774006535947712,5.837820512820512,3.4944434389140273,2.728665178571429,2.2706172277001078,5.837820512820512,0.9450444566693077,0.6978747901422142,0.3285431034482763,0.01604337625183281,0.7440000000000001,0.9624126984126982,0.18625808950413322,LP
s0082,1,2,3.494388563946657,1.1117386066205839,4.0547556818181825,3.6428170553935857,3.756133333333334,2.973591111111111,1.0087690532568028,3.6428170553935857,2.173977886016528,0.6707141034273637,0.6266605504587212,0.053696552880927444,0.7015,0.8077727272727273,0.1514433032471962,HP
s0083,1,1,3.977265368852459,1.3067720111249426,3.863545787545787,4.875866666666667,3.720372549019608,3.5880124999999996,1.712093598394008,4.875866666666667,0.875497101612974,0.9719166694443254,0.3521056910569058,0.017236435073193584,0.685,0.7946885245901637,0.023166463971308743,LP
s0083,1,2,4.3695007453416155,1.5519961897798689,5.491416071428571,4.489800000000001,4.257368286445012,3.5476968421052635,2.640599402346043,4.489800000000001,1.0863916987848459,0.6550999254356676,0.3252058823529424,0.011928849510374108,0.8360000000000001,0.788125,0.022651136875135237,HP
s0084,1,1,4.1142018309559285,0.8910235635775204,3.845285714285714,4.483333333333334,4.3105625,3.8180381250000006,0.6594785200196795,4.483333333333334,0.5644653409145242,1.0722424331379006,0.4647394957983218,0.028197014022266483,0.685,0.7190517241379308,0.01635641634879549,LP
s0084,1,2,5.324718072587638,1.5816310265799853,4.663058823529411,4.182761904761905,6.230485333333333,7.01875,0.6532867553954287,4.182761904761905,2.017796309290135,0.8637241674863565,0.39933333333333515,0.018255498072540476,0.685,0.749,0.024120506382018597,HP
s0085,1,1,4.84326749550395,1.5326510540789475,5.0382417582417585,5.327169642857143,4.885170758928571,4.152148148148148,1.2875779915834598,5.327169642857143,1.971318569200051,1.1712557902526133,0.54821621621621,0.08040892303649226,0.725,0.7530000000000001,0.01675363317823294,LP
s0085,1,2,4.910923310197199,1.5976071431755263,4.796669444444445,5.05740909090909,6.0142718749999995,4.6262550000000005,1.4855093549051792,5.05740909090909,2.860253490674128,2.1312110777842346,0.41212765957447106,0.022497050931135965,0.7490000000000001,0.7653333333333332,0.03219128054311937,HP
s0086,1,1,10.99595707326041,2.7410396709469658,12.0,12.0,10.191363636363635,9.921911111111111,0.0,12.0,3.719640922863567,3.342837808557422,0.44947826086956727,0.11707046083143169,0.7245,0.7622031250000002,0.012033810192039638,LP
s0086,1,2,11.639895726495727,1.4605710934567915,11.361090909090908,12.0,11.307625,12.0,2.020407945060307,12.0,1.8318520639983458,0.0,0.4552857142857118,0.06811969231443785,0.7809999999999999,0.8843770491803279,0.0517960679975071,HP
