id,sess,key,block,auc,std_wtw,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,auc3,std_wtw1,std_wtw2,std_wtw3
s1163,2,"('s1163', 2)",1,5.2028104520851635,2.1646104247129463,6.563,0.315,0.32181159420289845,0.009388313071708735,LP,4.751794526901671,6.680863157894737,4.549326998050683,2.271690604931502,2.322699444093021,1.275774632929908
s1163,2,"('s1163', 2)",2,9.803774390084476,2.9723991897952406,4.286,0.32,0.3332500000000001,0.008597514249799777,HP,7.288026729910714,11.121279999999999,11.621777777777778,2.4280344248504235,2.4647351422820267,1.0697739925151148
s1164,2,"('s1164', 2)",1,7.306847838266644,2.745882961505661,1.298,0.5785,0.6108088235294119,0.019106968254521697,LP,6.784985795454546,9.252705882352942,5.779717741935484,2.4201496284796216,2.1480800516152136,2.137650362794672
s1164,2,"('s1164', 2)",2,11.116576412691426,2.1040788364942316,2.823,0.629,0.6897377049180328,0.043205787468287404,HP,9.912623321280993,11.60225,12.0,2.8836228381239675,1.3191875103638604,0.0
s1167,2,"('s1167', 2)",1,2.7417253605097147,0.7712497484226626,6.401,0.529,0.5645915492957747,0.02848545205817271,LP,2.632172268907563,2.8387370549106556,2.7480815184513006,0.8792572685357813,0.6696715620591502,0.7418718000805954
s1167,2,"('s1167', 2)",2,9.001536811316488,2.9509914566554087,3.686,0.558,0.6086274509803924,0.03101834310879868,HP,8.205603637566139,9.974677272727272,8.558366477272727,3.4593939936278066,1.7901326462867648,2.786144294624228
s1168,2,"('s1168', 2)",1,2.8973581304226457,1.6807419245422777,10.692,0.408,0.4307714285714283,0.027601383959893346,LP,3.5669982456140352,3.064927466853544,2.1432941850941853,1.7765951098118695,1.6698182779526962,1.2690832181223703
s1168,2,"('s1168', 2)",2,8.195748149152541,3.611793616899278,4.115,0.451,0.5720961538461538,0.1011672346346427,HP,4.528873749999999,11.034785714285714,12.0,1.204223785394948,1.356882992037866,0.0
s1169,2,"('s1169', 2)",1,8.235842173382176,2.7665282024266684,12.0,0.942,0.9914590163934427,0.04584983947088336,LP,9.466107792207792,8.03776811594203,7.288384057971014,3.1736730328673857,2.3873003134941975,2.2794948153854264
s1169,2,"('s1169', 2)",2,7.461827203065135,1.4103762835956086,3.461,0.916,0.9105777777777777,0.0590888971533895,HP,6.8634545454545455,8.231416666666668,7.410672727272726,1.3962347516172642,1.479873117214971,0.8885966679810967
s1170,2,"('s1170', 2)",1,2.7086389787846104,1.2774455729501542,8.675,0.346,0.34083116883116876,0.008057882241384755,LP,3.5180763187429855,2.501531092436975,2.114517142857143,1.847288597823295,0.3896030994277132,0.4943644618443906
s1170,2,"('s1170', 2)",2,3.793629823559279,0.8791106757453214,2.27,0.3975,0.39730769230769225,0.007760804499635701,HP,3.748236486486487,3.946428571428571,3.726057071960298,1.3233871597929205,0.46573900022065007,0.5243611584913156
s1171,2,"('s1171', 2)",1,2.470919874748028,0.9247702329147057,4.857,0.3715,0.3578289473684211,0.009645381039696308,LP,2.8977225083581817,2.1404789473684214,2.3119705882352943,1.310527384546351,0.3593542997025101,0.4960606490986218
s1171,2,"('s1171', 2)",2,5.153196658541766,1.590034182400755,2.205,0.361,0.35980555555555555,0.007888284351293297,HP,4.37280271577381,5.767951704545454,5.525830663615561,2.1604207244887887,0.4725908167261746,0.6546263235610849
s1172,2,"('s1172', 2)",1,5.896509090909091,0.8155509176427949,5.634,0.4445,0.4755285714285714,0.027194872876834194,LP,5.657146874999999,5.987785714285715,6.113666666666667,0.9502760291371841,0.7544781714698511,0.5748568420823476
s1172,2,"('s1172', 2)",2,9.153934662129316,1.7317963411003083,4.995,0.479,0.5124399999999999,0.018904436727921834,HP,7.819161705167898,10.211244444444445,9.666399999999998,1.8322064462894905,1.0244118346219848,1.1240030723564178
s1173,2,"('s1173', 2)",1,5.77732911706349,1.7134363983631054,11.375,0.451,0.49672463768115943,0.021699286037036008,LP,5.080347985347985,5.872835,6.549307692307692,1.7228670009847027,1.685989447705709,0.9307543991189565
s1173,2,"('s1173', 2)",2,8.039765485662201,2.2320781151280467,7.5,0.5874999999999999,0.7720000000000001,0.07738859620438407,HP,8.525066985645934,8.69421517857143,8.427996743996745,3.1120861670754554,3.01844559115017,1.541702457159573
s1175,2,"('s1175', 2)",1,9.311214642691699,3.2197908464337734,12.0,0.4065,0.4351216216216217,0.018419805779671287,LP,8.640881044210529,10.572664192949906,8.274833333333333,3.967079858285933,2.577576708960015,2.2314830021510113
s1175,2,"('s1175', 2)",2,11.525889115646262,2.0170555604551805,12.0,0.378,0.4001818181818183,0.014633883802263787,HP,12.0,12.0,10.490556390977442,0.0,0.0,3.3723153118606115
s1176,2,"('s1176', 2)",1,7.753975245823256,5.3080259094316,12.0,0.883,1.137909090909091,0.15669186352573172,LP,4.084932921926136,12.0,12.0,4.9031333363267615,0.0,0.0
s1176,2,"('s1176', 2)",2,11.830509090909091,1.2454987299395341,12.0,0.867,0.9318888888888894,0.0477067663556801,HP,11.509368421052631,12.0,12.0,2.0815734992276815,0.0,0.0
s1178,2,"('s1178', 2)",1,2.652170498537112,0.8413534316576683,4.609,0.526,0.892492537313433,0.12999543384056225,LP,2.747442906574394,2.672705892390788,2.5288431313701953,0.6966292603136304,0.9828352167107725,0.8261821934693687
s1178,2,"('s1178', 2)",2,3.1736557716155365,1.5103123982510724,3.452,0.549,0.78496,0.1749807713321667,HP,2.8649942791762024,3.680931964056483,2.880857592446892,0.9622806362234291,1.9061673535614236,1.0858068804388588
s1179,2,"('s1179', 2)",1,9.11150677614796,1.4405861699973053,5.773,0.453,0.4558904109589039,0.009802220589403764,LP,8.62721978021978,9.413642857142856,9.425833333333335,1.4113565978172027,1.7408498173980134,0.3256011960802494
s1179,2,"('s1179', 2)",2,11.549765625000001,0.7330912661076784,9.614,0.487,0.4915873015873017,0.0145393989526762,HP,11.141142857142858,11.588750000000001,12.0,0.798618526594774,0.7123058946127006,0.0
s1180,2,"('s1180', 2)",1,3.430596893059096,1.6224956044329726,10.581,0.348,0.37861842105263177,0.015373511763943722,LP,4.122405896805897,3.139985573539761,2.9662320483371625,2.0128954698017782,1.414688431418851,0.7917099133966348
s1180,2,"('s1180', 2)",2,5.431552452621433,1.6329157977642317,4.801,0.493,0.7438918918918918,0.10892838657653794,HP,5.3009628906468835,5.357895361781076,5.9105988571428565,1.7604830964221054,1.6765509010669517,2.0811144550354324
s1181,2,"('s1181', 2)",1,7.046079277864993,2.042786924866512,3.487,0.3965,0.5526944444444445,0.036219930264106845,LP,6.896240384615385,7.837422222222223,6.3610625,1.9875199335971467,2.429980252447322,1.2407277838404966
s1181,2,"('s1181', 2)",2,5.419436903499471,0.9828592527447662,3.709,0.369,0.45611428571428575,0.04994177461116048,HP,5.528707368421053,5.429489304812835,5.47779632867133,1.154636706887961,0.6373156175786665,1.7026267500057095
s1182,2,"('s1182', 2)",1,8.213920634920633,1.1647872072381416,7.56,0.419,0.43916901408450715,0.011054337056135111,LP,7.609933333333333,8.217272727272725,9.396428571428572,0.9215049623065281,1.1068070449318361,0.7751746083750346
s1182,2,"('s1182', 2)",2,9.081847638528457,1.732516637853322,9.0,0.4255,0.4509444444444445,0.018644155603838846,HP,9.038802469135803,8.361711111111111,9.846392857142856,2.157435678023499,1.3196201578437847,1.138924189728614
s1183,2,"('s1183', 2)",1,6.412697198557841,2.914302588544511,7.112,0.48,0.6479402985074628,0.05195331317730289,LP,7.172440122377623,6.008047412945111,6.011382812499999,2.715811997033825,3.1068617037997885,2.7281404742433244
s1183,2,"('s1183', 2)",2,8.042317670418253,3.5817687061570957,4.047,0.5854999999999999,0.8547200000000004,0.0819451086520727,HP,7.292878190702218,8.926552657004834,8.215210963804715,3.953919899735566,3.237759143659085,3.417704147546034
s1184,2,"('s1184', 2)",1,3.147608475734791,0.5313696936111246,6.47,0.382,0.3845774647887324,0.00904788254371313,LP,3.2306475,3.16376,3.0537777777777784,0.7680171226891693,0.37363792955212677,0.3234269433029985
s1184,2,"('s1184', 2)",2,9.026486116253238,1.999858519005041,7.177,0.386,0.3891568627450981,0.006088377223505566,HP,9.57559523809524,9.722837681159419,7.579090909090908,1.779990490337409,1.9234332239226055,1.4497419491096564
s1185,2,"('s1185', 2)",1,6.356355097365406,2.444842127529922,7.746,0.375,0.41899999999999993,0.025247780362303938,LP,5.211859131344845,7.606913725490196,6.805359375,2.2160185906193974,2.175489482087734,2.4200475290218186
s1185,2,"('s1185', 2)",2,7.896862482170851,2.439118217383737,5.405,0.377,0.37670833333333337,0.01391491875042821,HP,8.971872159090907,8.519560768108896,6.23882039013618,2.6063456597288686,1.9707277511261712,1.90281391887004
s1187,2,"('s1187', 2)",1,4.522104514905876,3.3409647626861987,1.01,0.41,0.40154545454545454,0.012476556193997408,LP,3.150609574622532,6.359082950967162,4.395686227824463,2.05913870611187,4.314606205391643,2.511676888231267
s1187,2,"('s1187', 2)",2,5.46174737070988,3.4081001347570035,2.604,0.463,0.4908249999999999,0.025069849608144838,HP,3.9971543459789083,6.827647767047768,6.555116817097209,2.885682974477406,3.67012401661581,3.5451987812785153
s1188,2,"('s1188', 2)",1,5.411684201485807,1.4670421641995803,5.453,0.409,0.4351917808219177,0.013813866771977266,LP,5.351813664596273,4.747649251004751,6.191648148148149,1.0812659086825578,1.4799592270007205,1.6159750428652164
s1188,2,"('s1188', 2)",2,6.170175641490426,2.015303200897854,3.949,0.424,0.4558536585365853,0.02065974773930041,HP,6.764546910755148,6.096092352092351,5.605657142857143,1.570019939158559,2.418775244164034,1.6619064086224618
s1189,2,"('s1189', 2)",1,3.883298563611492,1.7951542077877367,12.0,0.508,0.5557246376811595,0.03814891329809612,LP,5.102190909090909,3.646130511463845,3.2651853832442073,2.293550722809324,0.9970102958123973,1.959680996776469
s1189,2,"('s1189', 2)",2,7.62386230892976,2.3222022838250127,2.167,0.497,0.6215319148936169,0.07897179245005113,HP,7.055441550925926,8.951133333333333,6.849385185185185,2.865618186115797,1.836368510411716,1.2786840514701923
s1191,2,"('s1191', 2)",1,4.774450938718491,1.6783171869784295,3.658,0.413,0.43945714285714294,0.02310694467315573,LP,5.814434496379197,4.120036390977443,4.351098765432099,1.9617778566753334,0.8927637932596707,1.4299759628899082
s1191,2,"('s1191', 2)",2,10.05673352547017,3.2261592284810106,1.142,0.471,0.5534098360655739,0.033424459685490224,HP,7.817394383799005,11.515363636363636,11.507409090909091,3.514298769559897,1.5325547460325122,2.257335127556201
s1192,2,"('s1192', 2)",1,3.3960962202095075,0.4889402188606387,3.261,0.426,0.472857142857143,0.029922214024504935,LP,3.535034782608696,3.271552888888889,3.387994565217391,0.37167095694908087,0.5064482828510386,0.5440999897845127
s1192,2,"('s1192', 2)",2,3.3522159637338564,0.4070946720349596,4.521,0.412,0.42306666666666665,0.029589672873162026,HP,3.50022380952381,3.3648008008008006,3.173669117647059,0.4717858800091031,0.3507427859004667,0.30556317473177735
s1194,2,"('s1194', 2)",1,10.271813899110404,2.987336406314102,2.009,0.5634999999999999,0.6128285714285717,0.03835152111731244,LP,9.829523584054833,10.140239333333334,10.9505,2.9258989360912873,3.735363652361873,1.8177873225435368
