id,sess,key,block,auc,auc_rh,std_wtw,std_wtw_rh,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,std_wtw1,std_wtw2
s1105,1,"('s1105', 1)",2,11.583258823529412,12.0,1.2999328231778313,0.0,10.356,0.408,0.44478125,0.018232553582310844,HP,11.193684210526316,12.0,1.668565537492785,0.0
s1106,1,"('s1106', 1)",1,4.822871960174162,4.144297851520039,3.217193419506965,2.45633099795384,12.0,0.3715,0.4828382352941175,0.09642353499710683,LP,6.928156873028931,2.9467160254304567,3.3618082414106665,1.15504128302058
s1106,1,"('s1106', 1)",2,4.9815114924663195,5.090293531411569,2.5838275748384443,2.660048845467997,2.878,0.442,0.4593235294117647,0.025156799647247593,HP,4.576893481382452,5.266876414510521,1.9366770667776456,2.8874940209169195
s1107,1,"('s1107', 1)",1,3.083202857841352,3.0454199152542367,0.6051083916358181,0.557109981102529,4.621,0.345,0.35315492957746475,0.010683795327393211,LP,3.339815789473685,2.8466879588496607,0.5091848415934898,0.5952365752668382
s1107,1,"('s1107', 1)",2,5.680425397915952,5.152110860655738,2.1269752332381575,1.509982008091187,5.371,0.322,0.3352857142857143,0.019449970208405765,HP,6.284279910714286,5.065229166666666,2.702790825820246,0.9569098687497917
s1108,1,"('s1108', 1)",1,1.7983227459016393,1.6114134615384619,0.9792168402454722,0.28662500999956125,7.862,0.382,0.38693333333333335,0.010906052685788068,LP,2.085129464285714,1.6763030303030306,1.3053356493048613,1.2923227147588658
s1108,1,"('s1108', 1)",2,2.61247186119606,2.9008048656088654,0.914493312715263,0.759801244531174,2.306,0.409,0.3872500000000001,0.020506964433523015,HP,2.194049090909091,3.1609586894586896,0.9033037647825616,0.5735102123158499
s1109,1,"('s1109', 1)",1,5.997573359073359,5.485609929078015,1.8755327954528598,1.3194533672207627,12.0,0.4605,0.4773333333333333,0.015024337252489485,LP,6.935962382445141,4.915170370370371,1.991415913433884,0.866587334324114
s1109,1,"('s1109', 1)",2,8.833638731569208,10.183765053322396,3.595163436962187,3.070102054421153,2.284,0.457,0.47239999999999993,0.013739046125177398,HP,7.20438208623774,11.299082706766917,3.546554078328364,1.904787170812508
s1110,1,"('s1110', 1)",1,3.114559922743852,2.8322779740255086,1.4470743914040671,1.0125155798253138,4.761,0.5385,0.5773142857142856,0.022254992953723043,LP,3.2524315936108934,2.898558994197292,1.8891774080023092,0.5202588060216656
s1110,1,"('s1110', 1)",2,2.6274103340040247,2.5535198852930088,1.2788423083232716,1.3554297432390139,4.574,0.634,0.6566666666666667,0.04287658142352189,HP,2.711276864035089,2.5628305555555553,1.2044934745585807,1.3727578503870088
s1111,1,"('s1111', 1)",1,7.2125991136363625,6.784804560954817,3.381479518245357,3.379954713093117,10.563,0.3835,0.42286764705882357,0.019802145304375674,LP,8.596848039215686,5.64792,3.4903252484049423,2.4755826034525015
s1111,1,"('s1111', 1)",2,6.988732629126403,7.384073538210607,2.4816370258383498,2.3551620032233616,2.617,0.4535,0.4779565217391304,0.015270805526831804,HP,7.103877851820187,6.946632293377122,2.897519756793982,2.177867795289089
s1112,1,"('s1112', 1)",1,3.6918653846153844,3.7579678571428574,1.8975154954826179,1.853019942285166,0.83,0.393,0.7329571428571429,0.19967065785040627,LP,4.078380690737834,3.487661684782609,2.191244051019645,2.0173035424927206
s1112,1,"('s1112', 1)",2,3.6115495145631074,3.454667392005158,1.4934803001291341,1.4790576479560686,7.436,0.4545,0.4697307692307691,0.031968529166632516,HP,3.7143726415094354,3.603854482758621,1.6054285869499112,1.7382328783895407
s1113,1,"('s1113', 1)",1,8.997359649122808,8.669822222222223,1.9886126241423,1.9560615735467464,8.843,0.53,0.609459016393443,0.03723997422941681,LP,10.011210526315788,7.932487394957983,1.5310864075086088,1.881442629337438
s1113,1,"('s1113', 1)",2,11.400039772727272,11.793764705882353,1.4461243221923599,0.7574799961957268,6.97,0.733,1.0425593220338985,0.1027927445475655,HP,11.120823529411766,11.709722222222222,1.759196415321968,0.8880961100113457
s1114,1,"('s1114', 1)",1,5.227950675675675,4.836064903846154,1.5937056146229218,0.8567237701754542,12.0,0.389,0.4234411764705883,0.01338053288128908,LP,5.810289655172415,4.670330170777989,2.002033738105748,0.7015171151894771
s1114,1,"('s1114', 1)",2,5.421533962264151,5.294043358297201,1.1165144382833045,0.9949484591842062,5.244,0.44,0.554735294117647,0.06923813414165542,HP,5.5012562724014336,5.365179144385027,0.8652131114536269,1.4341057378633313
s1115,1,"('s1115', 1)",1,2.3708223822823835,2.3494769257319454,1.3380845382152267,1.3195501623729908,6.655,0.4135,0.4363676470588236,0.016302276896556778,LP,2.3708686474602345,2.3785957955359285,1.3996356814583037,1.285103305783236
s1115,1,"('s1115', 1)",2,9.34072307372848,10.36640656236419,3.5910820736445754,2.663212364718946,1.651,0.42,0.5550877192982457,0.051579873966505464,HP,8.377663627488031,10.639251700680271,4.189532642017593,2.0591487800913097
s1116,1,"('s1116', 1)",1,5.998891666666667,5.964374999999999,0.991593673469072,0.7461304657196354,4.966,0.521,0.5667671232876712,0.01759034818413884,LP,6.152652777777777,5.76825,1.2196652678287758,0.3716324629254016
s1116,1,"('s1116', 1)",2,9.84430303030303,10.678079124579124,1.915831022193869,1.0960468661496825,5.077,0.5215000000000001,0.6564629629629629,0.06760729780659668,HP,9.592672727272728,10.411250000000003,2.3975433097200707,0.932995143342129
s1117,1,"('s1117', 1)",1,3.064568395588374,2.711275140916756,1.5140256577456526,0.6981925998813296,12.0,0.465,0.47269565217391313,0.018765640308413725,LP,3.3775152746903774,2.763943123100304,2.0112928781982915,0.6451526649326726
s1117,1,"('s1117', 1)",2,7.250056978511984,6.909618149824032,2.1967122079551045,1.7165428926471031,4.552,0.522,0.5162553191489362,0.023587742404636635,HP,7.849271858974358,6.461653273809524,2.715125244361125,1.0199865619831403
