id,cb,sess,nblock,batch,quit_midway,block1_duration,block2_duration,block1_screenEnterTime,block2_screenEnterTime,block1_screenExitTime,block2_screenExitTime
s0063,B,1,2,2,False,599,597,0.0,0.0,,
s0064,A,1,2,2,False,598,597,0.0,0.0,,
s0065,B,1,2,2,False,595,593,0.0,0.0,,
s0066,D,1,2,2,False,599,597,0.0,1.0,,
s0067,B,1,2,2,False,597,599,0.0,0.0,,
s0068,D,1,2,2,False,597,596,0.0,0.0,,
s0069,B,1,2,2,False,597,598,0.0,0.0,,
s0070,A,1,2,2,False,599,598,0.0,0.0,,
s0071,C,1,2,2,False,596,597,0.0,0.0,,
s0072,D,1,2,2,False,596,593,0.0,0.0,,
s0073,D,1,2,2,False,599,595,1.0,0.0,,
s0074,A,1,2,2,False,594,588,0.0,0.0,,
s0075,C,1,2,2,False,596,598,0.0,0.0,,
s0076,A,1,2,2,False,597,596,0.0,0.0,,
s0077,B,1,2,2,False,595,595,0.0,1.0,,
s0078,A,1,2,2,False,597,599,,,,
s0079,A,1,2,2,False,599,598,1.0,0.0,,
s0080,B,1,2,2,False,598,595,0.0,0.0,,
s0081,C,1,2,2,False,596,592,1.0,0.0,,
s0082,D,1,2,2,False,597,595,0.0,0.0,,
s0083,A,1,2,2,False,595,597,0.0,1.0,,191579.0
s0085,A,1,2,2,False,596,596,1.0,1.0,,
s0086,C,1,2,2,False,589,594,1.0,0.0,,
s0087,D,1,2,2,False,595,590,1.0,0.0,,
s0088,C,1,2,2,False,596,597,0.0,1.0,,
s0089,A,1,2,2,False,595,599,0.0,0.0,,
s0090,D,1,2,2,False,597,599,0.0,1.0,,
s0091,D,1,2,2,False,598,595,0.0,0.0,,
s0092,C,1,2,2,False,589,594,1.0,0.0,,
s0093,A,1,2,2,False,599,597,0.0,0.0,,
s0094,D,1,2,2,False,599,593,0.0,0.0,,
s0095,B,1,2,2,False,581,590,0.0,0.0,,
s0096,C,1,2,2,False,599,599,1.0,1.0,,
s0097,B,1,2,2,False,599,590,1.0,0.0,,
s0098,C,1,2,2,False,599,586,0.0,0.0,,
s0099,C,1,2,2,False,599,596,0.0,0.0,,
s0100,C,1,2,2,False,597,598,7.0,3.0,,
s0101,C,1,2,2,False,595,595,0.0,0.0,,
s0102,B,1,2,2,False,597,587,0.0,0.0,,
s0103,B,1,2,2,False,598,597,0.0,0.0,,
s0104,C,1,2,2,False,598,596,1.0,0.0,,
s0105,B,1,2,2,False,597,596,1.0,1.0,,
s0106,A,1,2,2,False,598,598,0.0,1.0,,
s0107,B,1,2,2,False,599,599,0.0,0.0,,
s0108,C,1,2,2,False,599,598,0.0,0.0,,
s0109,C,1,2,2,False,595,592,0.0,0.0,,
s0110,C,1,2,2,False,597,597,0.0,0.0,,
s0111,A,1,2,2,False,597,599,1.0,1.0,,
s0112,A,1,2,2,False,597,596,0.0,0.0,,
s0113,D,1,2,2,False,599,587,0.0,0.0,,
s0114,D,1,2,2,False,599,595,0.0,0.0,,
s0115,B,1,2,2,False,598,596,0.0,0.0,,
s0116,C,1,2,2,False,595,598,1.0,0.0,,
s0117,B,1,2,2,False,598,597,0.0,0.0,,
s0118,D,1,2,2,False,596,592,1.0,0.0,,
s0119,A,1,2,2,False,599,599,0.0,1.0,,
s0120,A,1,2,2,False,596,599,1.0,1.0,,
s0121,D,1,2,2,False,595,595,1.0,1.0,,
s0122,B,1,2,2,False,598,595,0.0,0.0,,
s0123,D,1,2,2,False,596,597,0.0,0.0,,
s0124,C,1,2,2,False,598,598,1.0,1.0,,
s0125,B,1,2,2,False,594,597,0.0,1.0,,
s0126,C,1,2,2,False,592,326,0.0,0.0,,
s0127,A,1,2,2,False,597,592,1.0,1.0,,
s0128,B,1,2,2,False,597,599,1.0,1.0,,
s0129,D,1,2,2,False,597,598,1.0,1.0,,
s0130,D,1,2,2,False,598,595,1.0,1.0,,
s0131,D,1,2,2,False,599,592,0.0,0.0,,
s0133,C,1,2,2,False,597,597,1.0,0.0,,
s0134,D,1,2,2,False,593,596,0.0,0.0,,
