id,consent_date,age,gender,education,handness,language,race,batch
s1136,2/10/22 18:39,44.0,Male,16.0,Left-handed,English,White,2.0
s1137,2/9/22 13:07,29.0,Male,14.0,Right-handed,English,Black or African American,2.0
s1138,2/9/22 13:07,39.0,Male,16.0,Right-handed,English,White,2.0
s1139,2/9/22 12:29,31.0,Female,16.0,Right-handed,English,White,2.0
s1140,2/9/22 12:02,36.0,Male,14.0,Right-handed,English,Black or African American,2.0
s1141,2/9/22 12:04,64.0,Female,16.0,Right-handed,English,White,2.0
s1142,2/9/22 13:25,46.0,Male,16.0,Left-handed,English,White,2.0
s1143,2/9/22 14:00,44.0,Male,16.0,Right-handed,English,White,2.0
s1146,2/9/22 12:10,63.0,Male,14.0,Right-handed,English,White,2.0
s1147,2/11/22 05:27,24.0,Male,16.0,Right-handed,English,White,2.0
s1148,2/9/22 12:05,34.0,Male,16.0,Right-handed,English,White,2.0
s1149,2/9/22 12:17,51.0,Male,16.0,Right-handed,english,White,2.0
s1150,2/9/22 12:01,28.0,Male,16.0,Right-handed,English,Asian,2.0
s1151,2/9/22 14:46,24.0,Male,12.0,Right-handed,english,White,2.0
s1152,2/9/22 20:26,23.0,Male,16.0,Right-handed,English,Black or African American,2.0
s1153,2/9/22 12:02,29.0,Female,16.0,Right-handed,English,White,2.0
s1154,2/9/22 12:04,35.0,Male,16.0,Right-handed,English,Asian,2.0
s1155,2/9/22 14:03,40.0,Male,12.0,Right-handed,English,White,2.0
s1156,2/9/22 14:35,29.0,Male,16.0,Right-handed,English,White,2.0
s1157,2/9/22 12:00,48.0,Female,13.0,Right-handed,English,White,2.0
s1159,2/9/22 12:39,69.0,Neither/Do not wish to disclose,14.0,Right-handed,English,Do not wish to answer,2.0
s1160,2/9/22 12:10,45.0,Female,14.0,Right-handed,English,Other,2.0
s1161,2/9/22 14:09,28.0,Male,13.0,Right-handed,English,White,2.0
s1162,2/9/22 13:03,39.0,Female,14.0,Right-handed,english,Asian,2.0
s1163,2/9/22 12:10,40.0,Male,20.0,Right-handed,English,White,2.0
s1164,2/9/22 14:11,64.0,Male,18.0,Right-handed,English,White,2.0
s1167,2/9/22 16:52,32.0,Male,16.0,Right-handed,English,Black or African American,2.0
s1168,2/9/22 13:38,29.0,Male,16.0,Right-handed,English,White,2.0
s1169,2/9/22 17:40,23.0,Female,15.0,Right-handed,Tamil,Asian,2.0
