id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s1181,792,14.0,3.0,23.0,20,19.0,79.0,12.0,18.0,20.0,6,6.0,13.0,5,12.0,8,50.0,23.0,14.0,0.08657389231210902
s1182,635,24.0,17.0,23.0,22,20.0,106.0,15.0,21.0,17.0,7,8.0,14.0,7,9.0,8,53.0,26.0,23.0,0.009900796334857579
s1183,464,15.0,3.0,22.0,9,0.0,49.0,12.0,22.0,19.0,6,6.0,16.0,6,5.0,14,53.0,34.0,10.0,0.15876862967239438
s1184,413,6.0,1.0,13.0,9,19.0,48.0,9.0,18.0,10.0,4,5.0,11.0,7,6.0,4,37.0,49.0,11.0,0.0639373165087494
s1185,812,12.0,0.0,12.0,12,9.0,45.0,14.0,13.0,20.0,5,9.0,9.0,4,8.0,12,47.0,18.0,50.0,0.1842939395027999
s1186,83,14.0,22.0,22.0,19,16.0,93.0,15.0,23.0,23.0,8,7.0,16.0,7,11.0,12,61.0,31.0,28.0,
s1187,602,4.0,1.0,14.0,8,14.0,41.0,11.0,15.0,11.0,6,5.0,11.0,4,6.0,5,37.0,36.0,10.0,0.0021404253958474664
s1188,364,9.0,2.0,11.0,23,6.0,51.0,16.0,15.0,15.0,8,8.0,8.0,7,6.0,9,46.0,17.0,20.0,0.0021404253958474664
s1189,526,16.0,4.0,15.0,15,22.0,72.0,10.0,16.0,12.0,3,7.0,11.0,5,7.0,5,38.0,27.0,30.0,0.000397700984875058
s1190,275,12.0,9.0,15.0,15,14.0,65.0,12.0,17.0,16.0,6,6.0,10.0,7,8.0,8,45.0,35.0,13.0,0.005286315321377051
s1191,399,5.0,0.0,16.0,11,9.0,41.0,13.0,15.0,10.0,8,5.0,11.0,4,4.0,6,38.0,35.0,18.0,0.06458455814891413
s1192,1269,24.0,8.0,20.0,16,20.0,88.0,12.0,22.0,15.0,7,5.0,16.0,6,9.0,6,49.0,43.0,21.0,0.02552782085037716
s1194,552,5.0,2.0,25.0,21,13.0,66.0,14.0,23.0,18.0,10,4.0,14.0,9,11.0,7,55.0,21.0,10.0,0.0072139188397647765
s1195,505,4.0,4.0,17.0,10,10.0,45.0,9.0,15.0,12.0,6,3.0,10.0,5,6.0,6,36.0,38.0,10.0,0.0011695599640162244
s1196,134,17.0,23.0,28.0,28,15.0,111.0,13.0,29.0,21.0,7,6.0,20.0,9,8.0,13,63.0,31.0,44.0,
s1197,530,6.0,3.0,16.0,14,14.0,53.0,8.0,18.0,14.0,5,3.0,13.0,5,4.0,10,40.0,36.0,10.0,0.009741894186056551
s1198,557,10.0,2.0,19.0,24,10.0,65.0,12.0,31.0,27.0,8,4.0,20.0,11,12.0,15,70.0,50.0,10.0,0.009741894186056551
s1199,671,18.0,15.0,15.0,14,24.0,86.0,12.0,21.0,15.0,7,5.0,14.0,7,6.0,9,48.0,40.0,19.0,0.009900796334857579
s1200,380,16.0,2.0,22.0,18,6.0,64.0,14.0,23.0,17.0,6,8.0,17.0,6,7.0,10,54.0,19.0,25.0,0.06458455814891413
s1201,332,4.0,1.0,13.0,12,3.0,33.0,8.0,16.0,11.0,3,5.0,10.0,6,6.0,5,35.0,16.0,14.0,0.005286315321377051
s1203,740,11.0,17.0,15.0,24,1.0,68.0,12.0,15.0,12.0,7,5.0,10.0,5,9.0,3,39.0,34.0,10.0,0.007168669980310297
s1204,555,18.0,13.0,15.0,23,9.0,78.0,25.0,16.0,14.0,13,12.0,10.0,6,5.0,9,55.0,23.0,11.0,0.01847675990484034
s1205,913,5.0,2.0,13.0,23,4.0,47.0,16.0,14.0,22.0,9,7.0,7.0,7,10.0,12,52.0,22.0,17.0,0.02523448665940745
s1206,791,4.0,7.0,17.0,11,18.0,57.0,10.0,21.0,15.0,6,4.0,13.0,8,8.0,7,46.0,24.0,10.0,0.003928030276290973
s1207,471,2.0,1.0,15.0,12,2.0,32.0,8.0,12.0,13.0,5,3.0,8.0,4,8.0,5,33.0,36.0,10.0,0.007168669980310297
s1208,475,31.0,12.0,22.0,22,20.0,107.0,17.0,21.0,27.0,11,6.0,13.0,8,15.0,12,65.0,20.0,24.0,0.009900796334857579
s1209,722,13.0,8.0,16.0,11,11.0,59.0,9.0,15.0,13.0,4,5.0,9.0,6,7.0,6,37.0,36.0,16.0,0.0021404253958474664
s1210,471,2.0,1.0,19.0,9,14.0,45.0,8.0,18.0,13.0,3,5.0,11.0,7,7.0,6,39.0,33.0,10.0,0.002895631350170924
s1211,457,3.0,1.0,15.0,8,23.0,50.0,8.0,15.0,7.0,3,5.0,10.0,5,3.0,4,30.0,37.0,11.0,0.009900796334857579
s1212,659,4.0,1.0,20.0,9,22.0,56.0,6.0,18.0,12.0,3,3.0,11.0,7,5.0,7,36.0,49.0,10.0,0.0029105428121737557
s1213,603,16.0,15.0,15.0,12,9.0,67.0,16.0,20.0,15.0,10,6.0,13.0,7,8.0,7,51.0,25.0,14.0,0.0006309178378349672
s1214,297,10.0,4.0,11.0,13,3.0,41.0,16.0,17.0,11.0,11,5.0,10.0,7,4.0,7,44.0,23.0,20.0,0.00288868994603506
s1215,823,9.0,2.0,12.0,13,4.0,40.0,9.0,15.0,18.0,5,4.0,7.0,8,10.0,8,42.0,20.0,14.0,0.0011551583305507605
s1216,439,20.0,3.0,13.0,30,7.0,73.0,16.0,17.0,11.0,8,8.0,10.0,7,3.0,8,44.0,19.0,28.0,0.0029105428121737557
s1217,266,1.0,3.0,22.0,8,33.0,67.0,6.0,14.0,5.0,3,3.0,11.0,3,3.0,2,25.0,50.0,10.0,0.001570816287617923
s1218,649,23.0,17.0,16.0,17,14.0,87.0,13.0,21.0,21.0,7,6.0,14.0,7,10.0,11,55.0,22.0,39.0,0.0021404253958474664
s1219,533,3.0,0.0,11.0,8,17.0,39.0,7.0,17.0,6.0,3,4.0,12.0,5,3.0,3,30.0,42.0,10.0,0.0052718699811344655
