trialIdx,condition,scheduledDelay,rewardedTime,RT,timeWaited,trialEarnings,totalEarnings,sellTime,trialStartTime,trialReadyTime
22.0,HP,3.0,136.524,0.502,3.593,2.0,142.0,137.026,133.433,133.198
23.0,HP,6.0,,,4.425,0.0,142.0,143.207,138.782,138.533
24.0,HP,3.0,148.531,0.673,3.755,2.0,144.0,149.204,145.449,144.714
25.0,HP,9.0,,,6.361,0.0,144.0,157.246,150.885,150.711
26.0,HP,7.5,,,4.54,0.0,144.0,163.58,159.04,158.753
27.0,HP,9.0,,,4.833,0.0,144.0,170.161,165.328,165.088
28.0,HP,6.0,,,5.105,0.0,144.0,177.065,171.96,171.668
29.0,HP,1.5,180.467,0.658,2.313,2.0,146.0,181.125,178.812,178.573
30.0,HP,4.5,,,4.296,0.0,146.0,187.306,183.01,182.632
31.0,HP,6.0,,,5.07,0.0,146.0,194.194,189.124,188.813
32.0,HP,9.0,,,4.9,0.0,146.0,200.668,195.768,195.702
33.0,HP,10.5,,,6.011,0.0,146.0,208.372,202.361,202.175
34.0,HP,3.0,213.107,1.0,4.154,2.0,148.0,214.107,209.953,209.879
35.0,HP,10.5,,,4.203,0.0,148.0,220.134,215.931,215.613
36.0,HP,12.0,,,5.917,0.0,148.0,227.683,221.766,221.641
37.0,HP,10.5,,,4.696,0.0,148.0,234.034,229.338,229.19
38.0,HP,6.0,,,4.394,0.0,148.0,240.046,235.652,235.541
39.0,HP,12.0,,,2.996,0.0,148.0,244.827,241.831,241.553
40.0,HP,1.5,248.053,0.696,2.363,2.0,150.0,248.749,246.386,246.334
41.0,HP,9.0,,,3.849,0.0,150.0,254.422,250.573,250.255
42.0,HP,1.5,257.775,0.707,2.37,2.0,152.0,258.482,256.112,255.929
43.0,HP,12.0,,,3.961,0.0,152.0,264.217,260.256,259.988
44.0,HP,7.5,,,3.87,0.0,152.0,269.952,266.082,265.723
45.0,HP,4.5,,,3.639,0.0,152.0,275.288,271.649,271.46
46.0,HP,4.5,,,4.295,0.0,152.0,281.208,276.913,276.795
47.0,HP,7.5,,,4.258,0.0,152.0,287.205,282.947,282.714
48.0,HP,6.0,,,4.928,0.0,152.0,293.8,288.872,288.711
49.0,HP,6.0,,,6.23,0.0,152.0,301.842,295.612,295.308
50.0,HP,4.5,,,4.357,0.0,152.0,307.901,303.544,303.349
51.0,HP,3.0,,,3.027,0.0,152.0,312.852,309.825,309.408
52.0,HP,4.5,,,4.138,0.0,152.0,318.864,314.726,314.359
53.0,HP,1.5,322.255,0.714,2.362,2.0,154.0,322.969,320.607,320.37
54.0,HP,3.0,327.794,0.71,3.737,2.0,156.0,328.504,324.767,324.476
55.0,HP,7.5,,,4.109,0.0,156.0,334.778,330.669,330.011
56.0,HP,3.0,339.678,0.682,3.797,2.0,158.0,340.36,336.563,336.285
57.0,HP,9.0,,,4.538,0.0,158.0,347.095,342.557,341.866
58.0,HP,4.5,,,4.115,0.0,158.0,352.937,348.822,348.601
59.0,HP,10.5,,,4.091,0.0,158.0,358.811,354.72,354.444
60.0,HP,10.5,,,2.553,0.0,158.0,363.131,360.578,360.317
61.0,HP,1.5,366.4,0.699,2.348,2.0,160.0,367.099,364.751,364.638
62.0,HP,1.5,370.516,0.688,2.331,2.0,162.0,371.204,368.873,368.605
63.0,HP,10.5,,,3.441,0.0,162.0,376.493,373.052,372.711
64.0,HP,9.0,,,5.128,0.0,162.0,383.305,378.177,378.001
65.0,HP,12.0,,,3.514,0.0,162.0,388.502,384.988,384.811
66.0,HP,12.0,,,5.474,0.0,162.0,395.682,390.208,390.009
67.0,HP,4.5,402.152,0.849,5.495,2.0,164.0,403.001,397.506,397.189
68.0,HP,12.0,,,7.491,0.0,164.0,412.028,404.537,404.508
69.0,HP,9.0,,,4.115,0.0,164.0,417.716,413.601,413.535
70.0,HP,6.0,,,3.579,0.0,164.0,422.883,419.304,419.223
71.0,HP,6.0,,,3.237,0.0,164.0,427.665,424.428,424.389
72.0,HP,4.5,,,3.317,0.0,164.0,432.662,429.345,429.172
73.0,HP,12.0,,,3.974,0.0,164.0,438.336,434.362,434.168
74.0,HP,1.5,441.552,0.828,2.392,2.0,166.0,442.38,439.988,439.843
75.0,HP,4.5,,,3.112,0.0,166.0,447.1,443.988,443.886
76.0,HP,4.5,,,2.781,0.0,166.0,451.467,448.686,448.607
77.0,HP,7.5,,,3.525,0.0,166.0,456.587,453.062,452.973
78.0,HP,6.0,,,3.383,0.0,166.0,461.553,458.17,458.094
79.0,HP,1.5,464.777,0.697,2.26,2.0,168.0,465.474,463.214,463.061
80.0,HP,3.0,470.256,0.677,3.696,2.0,170.0,470.933,467.237,466.981
81.0,HP,10.5,,,4.762,0.0,170.0,477.483,472.721,472.44
82.0,HP,6.0,,,4.344,0.0,170.0,483.342,478.998,478.99
83.0,HP,12.0,,,3.187,0.0,170.0,488.215,485.028,484.849
84.0,HP,4.5,,,3.479,0.0,170.0,493.352,489.873,489.722
85.0,HP,10.5,,,4.833,0.0,170.0,500.009,495.176,494.859
86.0,HP,9.0,,,4.164,0.0,170.0,505.991,501.827,501.516
87.0,HP,3.0,510.873,0.515,3.742,2.0,172.0,511.388,507.646,507.497
88.0,HP,7.5,,,4.769,0.0,172.0,517.907,513.138,512.895
89.0,HP,10.5,,,2.901,0.0,172.0,522.627,519.726,519.414
90.0,HP,4.5,,,3.137,0.0,172.0,527.64,524.503,524.134
91.0,HP,1.5,530.964,0.766,2.302,2.0,174.0,531.73,529.428,529.147
92.0,HP,12.0,,,3.046,0.0,174.0,536.573,533.527,533.237
93.0,HP,12.0,,,3.325,0.0,174.0,541.586,538.261,538.08
94.0,HP,7.5,,,4.018,0.0,174.0,547.121,543.103,543.093
95.0,HP,4.5,,,2.954,0.0,174.0,551.827,548.873,548.628
96.0,HP,3.0,,,3.161,0.0,174.0,556.732,553.571,553.333
97.0,HP,4.5,,,3.328,0.0,174.0,561.729,558.401,558.239
98.0,HP,9.0,,,4.523,0.0,174.0,567.987,563.464,563.236
99.0,HP,7.5,577.159,1.591,9.18,2.0,176.0,578.75,569.57,569.494
100.0,HP,9.0,589.74,1.188,10.356,2.0,178.0,590.928,580.572,580.257
101.0,HP,1.5,,,0.504,0.0,178.0,593.311,592.807,592.434
102.0,HP,6.0,,,0.513,0.0,178.0,595.633,595.12,594.819
103.0,HP,10.5,,,1.378,0.0,178.0,598.631,597.253,597.14
