id,sess,key,block,auc,std_wtw,init_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0111,2,"('s0111', 2)",1,2.1903965960998906,0.5518336817240486,2.062,2.5292194444444442,2.3453461538461546,2.0121535947712417,1.8974017857142857,0.5079402405354857,2.3453461538461546,0.4870218143476494,0.4417912900062456,0.677,0.6896949152542371,0.01092320623691947,LP
s0111,2,"('s0111', 2)",2,2.7661856702619416,0.5624649380752965,,2.863336363636364,2.6534516129032264,2.7621290322580645,2.79125,0.6101636682161756,2.6534516129032264,0.48886304843470213,0.6050897477933463,0.687,0.6793529411764706,0.019289084920467343,HP
s0113,2,"('s0113', 2)",1,4.2289637798931965,1.3600941893616694,8.391,4.546383900928793,4.256714285714285,3.5916666666666663,4.747371794871796,1.8877192951945474,4.256714285714285,0.4337450351941282,2.356985736799859,0.879,0.9112033898305085,0.03497480341998508,LP
s0113,2,"('s0113', 2)",2,5.590607422903072,1.5782318459502993,,4.770666666666667,6.320157179487179,5.2583833333333345,6.166064285714287,1.2200837207807855,6.320157179487179,1.2779150870547786,1.3169289014907497,0.877,0.8838709677419354,0.07079006705773394,HP
s0114,2,"('s0114', 2)",1,7.574712207137537,2.600204112497582,12.0,8.037577540106952,6.7734351851851855,9.032,7.072333333333333,3.0934911189158223,6.7734351851851855,1.5028177534218845,2.6418013826657267,0.832,0.9027586206896554,0.038456797496527945,LP
s0114,2,"('s0114', 2)",2,9.824045643576115,2.243771842472408,,10.292626262626262,8.750882352941177,8.6019,11.354800000000001,1.9756611913859772,8.750882352941177,1.707076123082975,1.1657626516577035,0.833,0.8637254901960787,0.00972351649926083,HP
s0115,2,"('s0115', 2)",1,10.15239648337596,2.8401879585329937,7.974,9.4721875,11.22475,9.077223076923076,10.9972,2.053311021823959,11.22475,3.8272468941392095,3.0084,0.891,0.9955892857142858,0.05660655011398606,LP
s0115,2,"('s0115', 2)",2,11.112905172413793,1.4239330789828295,,10.427299999999999,12.0,12.0,9.696,1.8017870046151403,12.0,0.0,0.4900000000000002,0.817,0.8750555555555557,0.033333738852128654,HP
s0116,2,"('s0116', 2)",1,5.914662342342343,0.9597629393141824,0.975,5.9521291666666665,6.0337,5.8313749999999995,5.725285714285714,1.3039105238279607,6.0337,0.6063517826930173,1.2428034009316788,0.729,0.7534461538461539,0.009253076399195028,LP
s0116,2,"('s0116', 2)",2,5.632096153846153,0.3533936168732334,,5.631785714285714,5.588142857142858,5.742166666666666,5.573666666666666,0.34566275442390126,5.588142857142858,0.4646232942455164,0.3464241940486002,0.7315,0.7494062500000002,0.01456054569605126,HP
